"","V1","V2","V3","V4","V5","V6","V7","V8"
"134",5.541667,-0.1318331,-0.9726868,19.22625,501.6846,555.1755,428.9129,1
"135",5.583333,-0.7831868,-0.7312335,23.2625,673.624,684.8791,461.7904,1
"136",5.625,-1.25583,-0.7352179,24.41789,814.0891,832.2313,583.288,1
"137",5.666667,-1.382024,-0.6156866,25.19195,910.7586,868.6929,507.5212,0.9984435
"138",5.708333,-1.463542,-0.5997491,27.44064,955.0979,882.8478,496.2125,1
"139",5.75,-1.548978,-0.5901866,27.74089,943.3744,679.438,199.9725,0.9915462
"140",5.791667,-1.554465,-0.5854053,28.15263,879.8461,740.7561,325.2652,1
"141",5.833333,-1.682227,-0.5901866,27.99173,764.8212,609.5667,215.3432,1
"142",5.875,-1.739446,-0.6117022,27.96133,609.8602,452.2558,168.2393,1
"143",5.916667,-1.846045,-1.39264,26.56524,429.1146,404.7112,201.1739,0.9884638
"144",5.958333,-1.822531,-1.646047,26.67799,241.6827,259.0456,137.8601,0.9461645
"145",6,-1.663416,-1.756812,26.55764,78.60396,79.22732,17.10617,0.9261746
"146",6.041667,-1.311481,-1.842875,25.88873,2.6455,3.61371,0.4004789,0.9392367
"147",6.083333,-0.2760558,-1.719359,23.18269,0,-0.0003237526,1.293504e-13,0.8507927
"148",6.125,1.079167,-1.238843,21.11009,0,-0.0003237526,1.293504e-13,0.8284986
"149",6.166667,2.319169,-0.728046,19.34154,0,-0.0003237526,1.293504e-13,0.04623625
"150",6.208333,2.84276,-0.1319831,17.83269,0,-0.0003237526,1.293504e-13,0.08774205
"151",6.25,2.510421,-0.06504553,16.88254,0,-0.0003237526,1.293504e-13,0.07617536
"152",6.291667,2.088726,-0.5320146,16.44167,0,-0.0003237526,1.293504e-13,0.0823402
"153",6.333333,1.540837,-0.9200931,15.07472,0,-0.0003237526,1.293504e-13,0.1092579
"154",6.375,1.224174,-1.187046,14.3298,0,-0.0003237526,1.293504e-13,0.1715319
"155",6.416667,1.384073,-1.25239,14.45268,18.5185,32.28504,18.57459,0.1453924
"156",6.458333,1.360558,-0.8738743,17.4425,134.6125,183.3516,136.0675,0
"157",6.5,2.224327,-0.008467364,20.1384,311.1905,380.7582,316.8361,0
"158",6.541667,2.907817,1.033049,21.67385,498.0244,581.1764,505.8049,0
"159",6.583333,3.1218,1.582893,24.43056,671.1597,762.1793,679.5746,0
"160",6.625,3.348323,1.511174,25.62649,813.0382,909.7724,819.7423,0.01925747
"161",6.666667,3.92443,1.26733,26.5247,910.4143,1009.239,914.6367,0.04232982
"162",6.708333,4.514646,1.192424,27.49259,954.1738,1063.57,970.5321,0.1192376
"163",6.75,4.955936,0.9270646,27.67755,940.4208,1038.613,929.0349,0.1307738
"164",6.791667,5.53753,0.2130641,26.62985,874.084,961.8345,849.2823,0.1899959
"165",6.833333,6.653688,0.2481266,23.73631,756.2324,737.8849,628.7138,0.8452688
"166",6.875,7.244688,1.325502,23.33725,598.3903,518.8745,355.7016,0.9392062
"167",6.916667,6.275887,2.547113,18.71824,415.7783,229.7317,90.24126,0.9784536
"168",6.958333,4.969261,2.636363,18.92094,229.5062,110.1675,32.70578,0.9899898
"169",7,3.954215,2.344706,18.11014,72.75124,50.17451,19.35648,0.9768971
"170",7.041667,3.095934,2.185331,17.89604,2.301222,2.850747,0.9344509,0.744602
"171",7.083333,2.874113,3.222066,15.03798,0,-0.0003237526,1.293504e-13,0.5584972
"172",7.125,2.047968,3.683457,13.16681,0,-0.0003237526,1.293504e-13,0.7576641
"173",7.166667,0.6065244,6.027865,11.88347,0,-0.0003237526,1.293504e-13,0.8560725
"174",7.208333,-1.322454,6.001568,9.608167,0,-0.0003237526,1.293504e-13,1
"175",7.25,-0.8568657,5.061255,9.097617,0,-0.0003237526,1.293504e-13,1
"176",7.291667,-0.2729206,4.617396,8.675749,0,-0.0003237526,1.293504e-13,1
"177",7.333333,-0.06599235,4.233301,7.539366,0,-0.0003237526,1.293504e-13,1
"178",7.375,-0.2737044,3.904192,7.444351,0,-0.0003237526,1.293504e-13,0.9577007
"179",7.416667,-0.3857905,4.029301,8.172802,16.19916,7.810004,1.697268,0.9492469
"180",7.458333,-0.7228327,3.873911,8.832841,128.0531,87.37898,28.26237,0.4847481
"181",7.5,-0.8012146,3.37666,9.881811,303.9063,256.8169,135.3047,0.6354051
"182",7.541667,-0.9133007,2.566238,10.77115,491.4831,429.1662,240.9167,0.9599286
"183",7.583333,-0.6585595,1.971769,12.63852,663.3863,481.67,148.1581,0.8568965
"184",7.625,-0.1639697,1.639471,14.05362,805.301,682.2288,340.388,0.7453954
"185",7.666667,0.3227819,1.684893,16.13889,903.0033,780.5104,461.8285,0.8261487
"186",7.708333,0.1777754,1.314346,19.16291,948.9372,864.3159,574.2296,0.8492363
"187",7.75,-0.3732494,0.4385799,20.41584,939.3155,761.075,359.4012,0.06317428
"188",7.791667,-0.457118,-0.1056862,21.86008,874.3377,920.1527,734.3449,0.09076343
"189",7.833333,-0.2031607,-0.7081241,22.59106,760.4181,850.2613,749.7157,0
"190",7.875,0.170721,-1.131265,23.53995,606.4536,672.9729,559.8886,0.05078357
"191",7.916667,0.06098634,-1.297015,21.36473,426.4691,493.9778,411.5398,0.3945951
